Ano,Distrito,Incêndios florestais(Ocorrencias),Fogachos(Ocorrencias),Total(Ocorrencias),Reacendimentos,Povoamentos(Area Ardida),Matos(Area Ardida),Total Florestal(Area Ardida)
2004,Aveiro,166,1667,1833,140,1874,275,2149
2004,Beja,59,52,111,11,6416,5817,12233
2004,Braga,654,2743,3397,15,1103,2070,3173
2004,Bragança,305,335,640,39,1710,6209,7918
2004,Castelo Branco,132,259,391,18,6722,895,7617
2004,Coimbra,66,368,434,35,312,43,355
2004,Évora,31,28,59,0,3426,399,3825
2004,Faro,86,124,210,3,17853,12825,30678
2004,Guarda,376,408,784,45,1609,10464,12073
2004,Leiria,107,590,697,76,447,959,1406
2004,Lisboa,230,1196,1426,5,237,750,987
2004,Portalegre,26,38,64,3,430,43,473
2004,Porto,531,3544,4075,0,2442,2456,4898
2004,Santarém,184,525,709,71,2932,2204,5136
2004,Setúbal,108,451,559,2,1467,842,2310
2004,Viana do Castelo,394,1073,1467,216,1394,1990,3383
2004,Vila Real,513,936,1449,147,2698,9861,12559
2004,Viseu,549,1414,1963,149,1590,7766,9356
2004,Portugal,4517,15751,20268,975,54662,65868,120529
2005,Aveiro,413,4066,4479,260,20396,1616,22012
2005,Beja,56,58,114,2,1534,72,1606
2005,Braga,1119,3643,4762,32,5448,6906,12354
2005,Bragança,383,430,813,23,4319,8016,12335
2005,Castelo Branco,217,546,763,61,15210,4915,20124
2005,Coimbra,171,879,1050,164,34063,13578,47642
2005,Évora,33,18,51,0,1328,45,1373
2005,Faro,89,255,344,4,713,953,1666
2005,Guarda,447,896,1343,82,12144,12447,24592
2005,Leiria,229,1177,1406,233,21856,3818,25675
2005,Lisboa,437,2014,2451,17,575,1501,2076
2005,Portalegre,39,65,104,2,1757,54,1811
2005,Porto,1289,6245,7534,0,15634,6664,22297
2005,Santarém,252,846,1098,52,24631,4118,28749
2005,Setúbal,92,570,662,6,901,106,1008
2005,Viana do Castelo,650,1776,2426,405,15439,11629,27068
2005,Vila Real,991,1513,2504,84,15634,19367,35002
2005,Viseu,1179,2680,3859,396,16530,21307,37837
2005,Portugal,8086,27677,35763,1823,208112,117112,325227
2006,Aveiro,105,1963,2068,95,2127,218,2345
2006,Beja,28,47,75,0,985,333,1319
2006,Braga,572,2362,2934,8,4997,5312,10309
2006,Bragança,146,286,432,0,1215,1627,2842
2006,Castelo Branco,98,415,513,4,1902,858,2760
2006,Coimbra,100,748,848,2,548,331,879
2006,Évora,48,70,118,4,5181,779,5959
2006,Faro,64,656,720,0,6,171,177
2006,Guarda,219,550,769,39,1025,4583,5609
2006,Leiria,71,738,809,31,1120,3240,4360
2006,Lisboa,225,1664,1889,1,89,579,668
2006,Portalegre,28,63,91,1,556,68,624
2006,Porto,506,4176,4682,11,4553,2368,6922
2006,Santarém,116,614,730,1,1523,1315,2838
2006,Setúbal,88,926,1014,1,623,84,707
2006,Viana do Castelo,356,940,1296,84,3798,11881,15679
2006,Vila Real,367,848,1215,2,1375,2524,3899
2006,Viseu,273,1340,1613,222,3452,2995,6447
2006,Portugal,3410,18406,21816,506,35075,39266,74343
2007,Aveiro,76,1552,1628,77,295,40,335
2007,Beja,23,54,77,0,513,1432,1945
2007,Braga,481,2052,2533,199,1267,3541,4808
2007,Bragança,337,493,830,0,138,1381,1519
2007,Castelo Branco,65,253,318,9,107,141,248
2007,Coimbra,22,329,351,0,123,18,141
2007,Évora,27,45,72,6,669,29,698
2007,Faro,57,561,618,0,4,247,251
2007,Guarda,322,490,812,7,222,4116,4338
2007,Leiria,69,371,440,30,297,2374,2671
2007,Lisboa,344,1756,2100,1,157,910,1067
2007,Portalegre,23,47,70,0,790,41,831
2007,Porto,335,3132,3467,7,631,773,1404
2007,Santarém,63,473,536,0,2010,928,2938
2007,Setúbal,79,709,788,0,629,202,831
2007,Viana do Castelo,337,823,1160,30,368,1586,1954
2007,Vila Real,498,813,1311,0,729,2478,3207
2007,Viseu,398,1213,1611,171,689,1575,2264
2007,Portugal,3556,15166,18722,537,9638,21812,31450
2008,Aveiro,57,845,902,102,210,13,84,45,294,58
2008,Beja,23,48,71,7,97,47,20,96,118,43
2008,Braga,247,824,1071,37,321,27,1099,07,1420,34
2008,Bragança,266,427,693,5,352,51,2173,14,2525,65
2008,Castelo Branco,104,447,551,12,767,95,1017,53,1785,48
2008,Coimbra,27,356,383,1,386,4,195,1,581,5
2008,Évora,16,57,73,7,56,48,7,15,63,63
2008,Faro,40,440,480,0,109,39,173,3,282,69
2008,Guarda,386,564,950,16,712,84,2773,47,3486,31
2008,Leiria,63,583,646,24,83,38,174,8,258,18
2008,Lisboa,302,1291,1593,2,445,71,845,46,1291,17
2008,Portalegre,9,64,73,1,19,76,13,32,33,08
2008,Porto,144,2141,2285,16,197,3,363,85,561,15
2008,Santarém,71,445,516,0,508,9,334,69,843,59
2008,Setúbal,34,345,379,0,134,43,49,85,184,28
2008,Viana do Castelo,127,383,510,50,454,77,356,57,811,34
2008,Vila Real,363,697,1060,0,291,43,1281,21,1572,64
2008,Viseu,278,1318,1596,41,312,64,816,98,1129,62
2008,Portugal,2557,11275,13832,321,5462,76,11780,9,17243,66
2009,Aveiro,123,1905,2028,265,629,297,926
2009,Beja,20,59,79,0,238,645,883
2009,Braga,786,2256,3042,247,3006,8649,11655
2009,Bragança,465,565,1030,14,1237,6875,8112
2009,Castelo Branco,93,350,443,6,255,312,567
2009,Coimbra,64,575,639,2,284,75,359
2009,Évora,12,48,60,5,38,5,43
2009,Faro,51,550,601,0,379,1361,1740
2009,Guarda,512,605,1117,46,6453,12125,18578
2009,Leiria,41,475,516,20,135,262,397
2009,Lisboa,195,1070,1265,1,176,480,656
2009,Portalegre,6,80,86,0,9,29,38
2009,Porto,883,5936,6819,34,3689,5374,9063
