HoraAno,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Janeiro ,42,925,252,148,240,31,38,213,330,16,4
Fevereiro ,468,2692,704,81,1001,1169,83,380,3749,86,4
Março ,1080,3228,303,847,1121,3763,401,1057,4174,188,613
Abril ,1350,830,630,675,822,1202,608,1180,871,693,348
Maio ,810,1101,2006,588,243,1415,799,766,523,848,1096
Junho,3129,4178,2828,644,859,1288,1428,3056,834,1703,885
Julho,7900,7129,4415,1373,2095,2153,5107,4335,2661,3138,1215
Agosto,2509,9670,7286,2620,2805,5135,8949,3963,2691,6678,1767
Setembro,2342,3541,2887,3330,1906,7774,2992,2556,4651,4710,714
Outubro,638,2353,423,2994,1841,2070,1459,7455,625,334,367
Novembro,,20,68,4964,685,89,91,90,52,384,26
Dezembro,,46,14,508,214,47,71,170,15,513,28
