HoraAno,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
1h,1090,1742,1005,844,711,1272,1156,1228,951,1013,348
2h,708,1218,768,555,474,874,887,875,698,859,248
3h,561,906,597,450,343,663,681,647,522,620,183
4h,438,741,445,340,235,454,569,535,377,512,142
5h,312,599,380,239,179,370,490,403,302,430,119
6h,285,570,400,296,175,349,422,424,285,360,93
7h,336,689,437,391,174,420,460,476,317,414,112
8h,366,726,462,391,212,471,452,552,349,381,112
9h,615,1021,656,483,270,564,543,605,442,482,139
10h,830,1236,803,641,370,691,692,773,548,541,204
11h,1089,1716,1088,974,599,564,930,1084,806,860,337
12h,1496,2238,1350,1449,950,1404,1310,1458,1248,1060,506
13h,1736,2505,1534,1643,1105,1704,1618,1759,1618,1311,574
14h,2394,3530,2013,1954,1477,2273,2102,2316,2095,1818,769
15h,3135,4565,2576,2704,2010,2858,2768,3005,2856,2212,989
16h,3272,4561,2762,2806,2278,3022,2928,3125,2927,2293,1063
17h,2980,3928,2533,2600,2084,2846,2528,2893,2673,2213,1094
18h,2649,3451,2201,2590,1976,2441,2250,2625,2281,2003,953
19h,2287,3133,1992,2391,1759,2146,1903,2123,2189,1575,733
20h,1951,2624,1687,1997,1528,2117,1749,2099,1791,1336,669
21h,1854,2446,1686,1724,1317,1991,1521,2003,1599,1285,590
22h,1783,2418,1702,1566,1235,1996,1689,1862,1587,1406,602
23h,1457,2091,1355,1171,952,1755,1461,1716,1262,1341,454
24h,1102,1734,1057,947,750,1368,1172,1379,1031,1071,378
